品名,最低价,平均价,最高价,产地,单位
鸡爪,19.0,19.0,19.0,未知,斤
鸡心,5.0,5.0,5.0,未知,斤
鸡肝,2.5,2.5,2.5,未知,斤
鸡脖子,5.0,5.0,5.0,未知,斤
鸡头,2.5,2.75,3.0,未知,斤
鸡油,5.0,5.25,5.5,未知,斤
鸡架子,3.0,3.25,3.5,未知,斤
白条乌鸡,11.0,11.0,11.0,未知,斤
黑爪公鸡,11.0,11.0,11.0,未知,斤
白条鹅,10.0,11.5,13.0,未知,斤
白条湖鸭,7.0,7.25,7.5,未知,斤
鸭肠,6.5,7.0,7.5,未知,斤
鸭肝,2.0,2.25,2.5,未知,斤
鸭头,11.5,12.0,12.5,未知,斤
鸭心,4.5,4.75,5.0,未知,斤
鸭腿,5.0,5.5,6.0,未知,斤
鸭胗,12.0,12.5,13.0,未知,斤
鸭脖子,6.5,7.0,7.5,未知,斤
白条乳鸽,20.0,21.5,23.0,未知,只
白条兔,12.0,12.5,13.0,未知,斤
筐鸡蛋,137.0,140.0,143.0,未知,筐
筐鸡蛋,3.11,3.18,3.25,未知,斤
散鸡蛋,3.6,3.65,3.7,未知,斤
生鸭蛋,5.5,6.25,7.0,未知,斤
熟鸭蛋,7.0,7.75,8.5,未知,斤
松花蛋,6.8,7.65,8.5,未知,斤
鹅蛋,13.0,13.75,14.5,未知,斤
鹌鹑蛋,5.2,5.85,6.5,未知,斤
柴鸡蛋,3.25,6.03,8.8,未知,斤
乌鸡蛋,7.0,7.75,8.5,未知,斤
变蛋,0.6,0.7,0.8,未知,个
鸵鸟蛋,85.0,85.0,85.0,未知,个
鸽子蛋,2.4,2.45,2.5,未知,个
活珠子,1.3,1.4,1.5,未知,个
山鸡蛋,1.1,1.15,1.2,未知,个
鲤鱼,8.0,8.25,8.5,未知,斤
鲤鱼,8.5,8.5,8.5,未知,斤
草鱼,9.5,9.5,9.5,未知,斤
草鱼,9.0,9.25,9.5,未知,斤
草鱼,12.0,12.5,13.0,未知,斤
鲫鱼,12.0,12.5,13.0,未知,斤
鲫鱼,13.0,13.5,14.0,未知,斤
鲫鱼,15.0,15.5,16.0,未知,斤
胖头鱼,11.0,11.5,12.0,未知,斤
胖头鱼,10.0,10.5,11.0,未知,斤
武昌鱼,12.0,12.5,13.0,未知,斤
鲢鱼,5.0,5.0,5.0,未知,斤
鲢鱼,4.5,4.5,4.5,未知,斤
鲶鱼,4.5,5.25,6.0,未知,斤
松花鱼,15.0,15.0,15.0,未知,斤
黑鱼,10.5,11.0,11.5,未知,斤
黑鱼,12.0,12.5,13.0,未知,斤
黄鳝,32.0,32.5,33.0,未知,斤
黄鳝,38.0,39.0,40.0,未知,斤
罗非鱼,11.0,11.25,11.5,未知,斤
虹鳟鱼,20.0,21.0,22.0,未知,斤
鲟鱼,19.0,19.5,20.0,未知,斤
青鱼,15.0,15.0,15.0,未知,斤
桂鱼,38.0,40.0,42.0,未知,斤
嘎鱼,24.0,24.0,24.0,未知,斤
嘎鱼,23.0,23.5,24.0,未知,斤
淡水鲈鱼,28.0,28.5,29.0,未知,斤
泥鳅,12.0,14.5,17.0,未知,斤
清江鱼,12.0,12.0,12.0,未知,斤
三文鱼肉,90.0,100.0,110.0,未知,斤
三文鱼肉,60.0,70.0,80.0,未知,斤
燕鲅,17.0,20.0,23.0,未知,斤
鲐鲅,5.0,5.75,6.5,未知,斤
小黄花鱼,6.0,8.0,10.0,未知,斤
鲽鱼,30.0,31.5,33.0,未知,斤
红星斑,120.0,122.5,125.0,未知,斤
多宝鱼,30.0,30.0,30.0,未知,斤
石斑鱼,38.0,39.0,40.0,未知,斤
鳕鱼,5.0,5.75,6.5,未知,斤
带鱼,9.0,9.5,10.0,网,斤
带鱼,12.0,12.5,13.0,网,斤
带鱼,13.5,14.0,14.5,网,斤
带鱼,10.0,11.0,12.0,吊,斤
带鱼,15.0,16.0,17.0,吊,斤
带鱼,17.0,18.0,19.0,吊,斤
黄花鱼,27.0,27.5,28.0,国产,斤
黄花鱼,25.0,26.0,27.0,国产,斤
黄花鱼,25.0,25.5,26.0,国产,斤
平鱼,13.0,13.5,14.0,国产,斤
平鱼,17.0,18.5,20.0,国产,斤
平鱼,26.0,27.0,28.0,国产,斤
平鱼,45.0,47.5,50.0,国产,斤
鱿鱼,21.0,21.5,22.0,未知,斤
鱿鱼,26.0,26.5,27.0,未知,斤
八爪鱼,43.0,44.0,45.0,未知,斤
海鲈鱼,17.0,17.0,17.0,未知,斤
墨鱼,28.0,30.0,32.0,未知,斤
金鲳鱼,25.0,25.5,26.0,未知,斤
金鲳鱼,26.0,26.5,27.0,未知,斤
白虾,25.5,25.75,26.0,未知,斤
白虾,21.0,22.0,23.0,未知,斤
白虾,20.0,20.5,21.0,未知,斤
白虾（笼装）,30.0,30.5,31.0,未知,斤
白虾（笼装）,29.0,29.0,29.0,未知,斤
白虾（精品）,31.0,31.5,32.0,未知,斤
白虾（精品）,30.0,30.0,30.0,未知,斤
小海白虾,25.0,27.5,30.0,未知,斤
小河虾,22.0,23.5,25.0,未知,斤
小河虾,38.0,39.0,40.0,未知,斤
琵琶虾,65.0,67.5,70.0,未知,斤
小青龙虾,125.0,127.5,130.0,未知,斤
虾仁,31.0,31.5,32.0,未知,斤
基围虾,250.0,270.0,290.0,未知,斤
罗氏虾,78.0,79.0,80.0,未知,斤
波士顿龙虾,140.0,150.0,160.0,未知,斤
澳洲龙虾,330.0,335.0,340.0,未知,斤
玫瑰龙虾,270.0,275.0,280.0,未知,斤
小龙虾,17.0,17.5,18.0,未知,斤
